season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed(mph),windspeed(ms),cnt
1,0,1,0,6,0,2,14.110847,18.18125,80.5833,10.749882,4.80549038891,985
1,0,1,0,0,0,2,14.902598,17.68695,69.6087,16.652113,7.44394859186,801
1,0,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,7.43705990165,1349
1,0,1,0,2,1,1,8.2,10.6061,59.0435,10.739832,4.80099776486,1562
1,0,1,0,3,1,1,9.305237,11.4635,43.6957,12.5223,5.59780956638,1600
1,0,1,0,4,1,1,8.378268,11.66045,51.8261,6.0008684,2.68255181046,1606
1,0,1,0,5,1,2,8.057402,10.44195,49.8696,11.304642,5.05348323648,1510
1,0,1,0,6,0,2,6.765,8.1127,53.5833,17.875868,7.99100044703,959
1,0,1,0,0,0,1,5.671653,5.80875,43.4167,24.25065,10.8407018328,822
1,0,1,0,1,1,1,6.184153,7.5444,48.2917,14.958889,6.68703129191,1321
1,0,1,0,2,1,2,6.932731,9.5732,68.6364,8.182844,3.65795440322,1263
1,0,1,0,3,1,1,7.081807,8.02365,59.9545,20.410009,9.12383057667,1162
1,0,1,0,4,1,1,6.765,7.54415,47.0417,20.167,9.01519892713,1406
1,0,1,0,5,1,1,6.59567,9.42065,53.7826,8.478716,3.79021725525,1421
1,0,1,0,6,0,2,9.566653,12.4056,49.875,10.583521,4.73112248547,1248
1,0,1,0,0,0,1,9.498347,11.71085,48.375,12.625011,5.64372418418,1204
1,0,1,1,1,0,2,7.209153,8.83855,53.75,12.999139,5.81096960215,1000
1,0,1,0,2,1,2,8.883347,11.61665,86.1667,9.833925,4.39603263299,683
1,0,1,0,3,1,2,11.979134,14.9211,74.1739,13.957239,6.23926642825,1650
1,0,1,0,4,1,2,10.728347,12.7525,53.8333,13.125568,5.8674868127,1927
1,0,1,0,5,1,1,7.2775,7.89165,45.7083,23.667214,10.5798900313,1543
1,0,1,0,6,0,1,2.4243464,3.95348,40.0,11.52199,5.15064371927,981
1,0,1,0,0,0,1,3.9573897,4.941955,43.6522,16.5222,7.38587393831,986
1,0,1,0,1,1,1,3.9930433,5.8965,49.1739,10.60811,4.74211443898,1416
1,0,1,0,2,1,2,9.162598,11.7263,61.6957,8.696332,3.88749754135,1985
1,0,1,0,3,1,3,8.9175,10.18,86.25,19.68795,8.80105051408,506
1,0,1,0,4,1,1,7.995,10.985,68.75,7.627079,3.40951229325,431
1,0,1,0,5,1,2,8.342598,11.16585,79.3043,8.2611,3.69293696916,1167
1,0,1,0,6,0,1,8.057402,10.6063,65.1739,9.739455,4.35380196692,1098
1,0,1,0,0,0,1,8.877402,12.5161,72.2174,4.9568342,2.21584005364,1096
1,0,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,5.60655520787,1501
1,0,2,0,2,1,2,7.879134,11.7265,82.9565,3.565271,1.59377335717,1360
1,0,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,7.91624318283,1526
1,0,2,0,4,1,1,7.665237,8.8939,43.7826,18.609384,8.31890210103,1550
1,0,2,0,5,1,2,8.663464,11.42935,58.5217,8.565213,3.82888377291,1708
1,0,2,0,6,0,2,9.566653,12.1529,92.9167,10.792293,4.82444926241,1005
1,0,2,0,0,0,1,11.719153,14.58355,56.8333,9.5006,4.24702726866,1623
1,0,2,0,1,1,1,11.138347,15.1829,73.8333,3.0423561,1.36001613768,1712
1,0,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,10.8407018328,1530
1,0,2,0,3,1,2,5.526103,7.21415,49.4783,12.652213,5.65588421994,1605
1,0,2,0,4,1,1,5.918268,7.4774,43.7391,14.869645,6.64713679034,1538
1,0,2,0,5,1,1,7.752731,10.67545,50.6364,7.27285,3.2511622709,1746
1,0,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589,6.0910098346,1472
1,0,2,0,0,0,1,12.977402,16.20565,45.7391,17.479161,7.81366160036,1589
1,0,2,0,1,1,1,17.015,19.9175,37.5833,27.999836,12.5166902101,1913
1,0,2,0,2,1,1,10.909567,12.7137,31.4348,19.522058,8.72689226643,1815
1,0,2,0,3,1,1,13.048701,15.81,42.3478,16.869997,7.54134868127,2115
1,0,2,0,4,1,1,17.869153,21.4329,50.5,15.416968,6.89180509611,2475
1,0,2,0,5,1,1,21.388347,25.59915,51.6667,17.749975,7.93472284309,2927
1,0,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,15.1989365221,1635
1,0,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,6.68607286544,1812
1,0,2,1,1,0,2,12.436653,14.20375,60.5,20.625682,9.22024228878,1107
1,0,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,5.86086767993,1450
1,0,2,0,3,1,1,9.091299,12.28585,42.3043,6.305571,2.81876218149,1917
1,0,2,0,4,1,2,12.121732,14.45955,69.7391,16.783232,7.5025623603,1807
1,0,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,10.3791296379,1461
1,0,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257,5.5879557443,1969
1,0,2,0,0,0,1,14.082598,17.55545,68.0,8.391616,3.75128118015,2402
1,0,2,0,1,1,2,16.698193,20.0059,87.6364,19.408962,8.67633527045,1446
1,0,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,6.48210773357,1851
1,0,3,0,3,1,1,13.735,16.00355,44.9583,20.624811,9.21985292803,2134
1,0,3,0,4,1,1,8.131653,10.00665,31.8333,15.125518,6.76151899866,1685
1,0,3,0,5,1,2,10.728347,12.78395,61.0417,13.624182,6.09038086723,1944
1,0,3,0,6,0,2,15.750847,18.93895,78.9167,16.875357,7.54374474743,2077
1,0,3,0,0,0,2,15.437402,18.3126,94.8261,23.000229,10.2817295485,605
1,0,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,10.2237746983,1872
1,0,3,0,2,1,1,11.9925,15.12,42.0833,8.08355,3.6135672776,2133
1,0,3,0,3,1,2,12.129153,14.3304,77.5417,14.75005,6.59367456415,1891
1,0,3,0,4,1,3,15.952731,19.2834,0.0,17.545759,7.8434327224,623
1,0,3,0,5,1,2,12.977402,15.25,64.9565,15.60899,6.97764416629,1977
1,0,3,0,6,0,1,13.495847,16.2875,59.4583,14.791925,6.61239383102,2132
1,0,3,0,0,0,1,15.758268,19.00455,52.7391,18.130468,8.10481358963,2417
1,0,3,0,1,1,1,13.333897,16.6,49.6957,9.174042,4.10104693786,2046
1,0,3,0,2,1,2,13.013031,15.9089,65.5652,12.348703,5.52020697363,2056
1,0,3,0,3,1,2,14.973897,18.3465,77.6522,13.608839,6.08352212785,2192
1,0,3,0,4,1,1,17.015,20.51665,60.2917,14.041793,6.27706437193,2744
1,0,3,0,5,1,1,22.14,26.35045,52.5217,15.478139,6.91915020116,3239
1,0,3,0,6,0,1,19.3725,23.32625,37.9167,24.667189,11.0269061243,3117
1,0,3,0,0,0,1,13.6325,16.2875,47.375,13.917307,6.22141573536,2471
2,0,3,0,1,1,2,17.647835,20.48675,73.7391,19.348461,8.64928967367,2077
2,0,3,0,2,1,1,18.108347,22.0321,62.4583,15.12525,6.76139919535,2703
2,0,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487,7.01631068395,2121
2,0,3,0,4,1,2,11.685,13.54165,80.5833,16.333729,7.30162226196,1865
2,0,3,0,5,1,1,10.830847,12.8156,49.5,15.458575,6.91040455968,2210
2,0,3,0,6,0,1,10.899153,12.87855,39.4167,14.041257,6.27682476531,2496
2,0,3,0,0,0,2,10.374763,12.51695,49.3913,12.3481,5.51993741618,1693
2,0,3,0,1,1,1,10.838268,12.8787,30.2174,14.217668,6.3556852928,2028
2,0,3,0,2,1,1,12.4025,14.6454,31.4167,15.208732,6.79871792579,2425
2,0,3,0,3,1,2,12.3,14.8675,64.6667,11.583496,5.17813857845,1536
2,0,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282,6.51867769334,1685
2,0,4,0,5,1,2,12.3,14.1727,68.625,17.333436,7.74851855163,2227
2,0,4,0,6,0,2,12.915,15.78185,65.375,13.208782,5.90468573983,2252
2,0,4,0,0,0,1,15.511653,18.93835,48.0,12.208271,5.45743004023,3249
2,0,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,11.5481703174,3115
2,0,4,0,2,1,2,16.980847,19.9175,64.2083,26.000489,11.6229275816,1795
